model;price;kilometer;fuel type;vitesse;engine
Lada Lada 2107 1989 GT TDI;28;11111111km;Essence;;Manuelle
Aston Martin 1985 ;28;86595km;Essence;76;Manuelle
Volkswagen Tiguan 2009 TrendLine;28;380km;Diesel;2.0 TDI 140ch;Automatique
Fiat Uno 1986 Uno;28;00km;GPL;75;Manuelle
Faw n3 2007;28;1111111km;Essence;1.1;Manuelle
Lada Samara 1987 Samara;28;0km;Essence;1.3 ess 65ch;Manuelle
Honda Concerto 1992 Concerto;28;320000000km;Essence;1.6 ess 122ch;Manuelle
Citroen Saxo 1996 Saxo;28;333333km;Diesel;1.5;Manuelle
Fiat Uno 1988 Uno;28;58000km;Essence;75ch;Manuelle
Daewoo Nubira 1998 Nubira;28;1112km;GPL;1,5;Manuelle
Daewoo Racer 1997 Racer;28;;;;Manuelle
Hyundai Accent 1998 Accent;28;6532km;GPL;1.3;Manuelle
Renault Express 1998;28;;Diesel;Diesel 1.9 dci;Manuelle
Renault 5 1984 5;28;9999999km;Essence;;
Fiat Panda 1993 Panda;28;0km;Essence;1.0 ess 45ch;Manuelle
Peugeot 206 Plus 2010 La route;28;290km;Essence;1.4 ess 75ch;Manuelle
Peugeot 404 1978;28;;;;
Hafei motors Yavuz 2005;28;;;;
Volkswagen Passat 1992;28;;;;
Peugeot 309 1989;28;;;;
Renault Clio 1 1995;28;;;;
Daewoo Laganza 2000;28;;;;
Skoda Fabia 2019 Ambition;29;176000km;Essence;1.6 MPI 90ch;Manuelle
Chana Sando9 2009;29;;;;
Renault Clio 1 1998 Clio 1;29;;Diesel;1.9 simple;Manuelle
Lada Niva 1988;29;;GPL;;Manuelle
Fiat 500 2023 Hybride;29;100km;Essence;Essence;Manuelle
Daewoo Nubira coupé 1998 Nubira coupé;29;30km;Essence;1.6 ess 106ch;Manuelle
Peugeot 305 1985 305;29;22222km;Essence;1.5 ess 74ch;Manuelle
Renault 5 1983 5;29;300km;Essence;1.1 ess 45ch;Manuelle
Renault 4 1983 4;29;;Essence;1.1 ess 34ch;Manuelle
Peugeot 405 1989 405;29;1111111111km;GPL;Bx;Manuelle
Ford Fiesta 1999;29;;;;
Volkswagen Polo 1990;29;;;;
Renault 19 1995 19;30;350000km;Diesel;1.9 DT 93ch;Manuelle
FOTON Wiling 2011 Wiling;30;;;;
Renault Express 1996 Express;30;85652km;Essence;1.4 ess 80ch;Manuelle
Peugeot 3008 2015 Premium;30;290000km;Diesel;2.0 HDI 163ch BVA;Manuelle
Fiat Seicento 2000 Seicento;30;149000km;Essence;1.1 ess 54ch;Manuelle
Renault Scenic 2004 Scenic;30;300000km;Diesel;1.9 DCI 120ch;Manuelle
Volkswagen Golf 1 1981 Golf 1;30;333km;;;Manuelle
Renault Clio 4 2019 Limited 2;30;75km;Diesel;1.5 DCI 85ch;Manuelle
Peugeot 207 2008;30;000km;Essence;1.4 ess 75ch;Manuelle
Fiat Uno 1989 Uno;30;382200km;Essence;1.4 ess 71ch;Manuelle
Alfa Romeo 33 1990 33;30;999999km;Essence;1.4 ess 88ch;Manuelle
Volkswagen Polo 1993 1.6d;30;1111km;Diesel;1.6 DIESSEL;Manuelle
Renault 19 1993 Chamade;30;360000km;Diesel;1.9 simple;Manuelle
Hyundai i20 2018;30;90000km;Essence;1.4 ess 100ch BVA;Automatique
Kia Carens 2006;30;;Diesel;;Manuelle
Opel Ascona 1973 Ascona;30;;Essence;1.6 ess 80ch;Manuelle
Renault R4 1970;30;;Essence;GTL;Manuelle
Daewoo Espero 1990;30;;Essence;Cialo;Manuelle
Faw Xiali 2006 Xiali;30;258000km;Essence;1.1;Manuelle
Renault KANGOO 2023;30;0km;Diesel;1.5dci;Manuelle
Volkswagen Gol 2005 Gol;30;;Essence;1.6 ess;
Peugeot 305 1984 305;30;27km;Essence;1.5 ess 74ch;Manuelle
Dacia Stepway 2023 2023;30;13km;Diesel;1.5;Manuelle
Toyota Yaris 2015 Touch Active;30;50000km;Diesel;1.4 D4D 90ch;Automatique
Nissan Sunny 1994;30;;Diesel;;Manuelle
Mercedes Classe S 1987 Classe S;30;00km;Diesel;6.c;Manuelle
 R4 1984;30;33333km;Essence;Gtl;Manuelle
Lifan;30;1447080km;Essence;;Manuelle
Renault Van estafette 800 1970;30;4444km;Essence;;Manuelle
Fiat Tipo 1994 Tipo;30;10000km;Diesel;1.9 D 65ch;Manuelle
Daewoo Cielo 1998 Cielo;30;;GPL;1.5 ess 75ch;
Peugeot 404 1981 404;30;300088888km;Essence;10;Manuelle
Renault 4 1968 Gtl;30;;Essence;Gtl;Manuelle
Renault R4 gtl 1968;30;;Essence;Gtl;Manuelle
Peugeot 404 1987 404;30;99999km;Essence;La 11;Manuelle
BYD Flyer 2007 Flyer;30;;Essence;0.8;Manuelle
Citroen 2 cv 1985 Acadiane;30;;Essence;0.6 ess 29ch;Manuelle
Seat Ibiza 2017 Style Facelift;30;48000km;Essence;1.6 MPi 110 ch;Manuelle
Peugeot 304 1975;30;;Essence;;Manuelle
Suzuki Alto 2023;30;0km;Essence;;Manuelle
Renault R4 1984 F4;30;0000000km;Essence;GTL;Manuelle
Seat Ibiza 2014 Fr+;30;00km;Diesel;1.6 TDI 105ch;Manuelle
Daewoo Racer 1993 Racer;30;1111111km;Essence;1.6 ess ch;Manuelle
Volkswagen Golf 7 2019 GTD;30;105000km;Diesel;2.0 TDI 177ch DSG6;Automatique
Renault Clio 2 2001 Clio 2;30;111111km;Diesel;1.5 DCI 65ch;Manuelle
Daewoo Matiz 2000 Matiz;30;;Essence;;Manuelle
Mercedes Classe E 2012 Classe E;30;;Diesel;250 CDI BlueEfficiency 211;Automatique
Renault clio 1 1997;30;111111111km;Diesel;1.9 D;Manuelle
Sym Tonic machya 3800 2023;30;3800km;Essence;;Automatique
Renault 21 1990 21;30;220000km;Essence;1.9;Manuelle
Seat Leon 2015 Leon;30;261km;;2.0 TDI 143ch;
Renault Express 1993;30;55555km;Diesel;1.9 D 55ch;Manuelle
Renault r4 1985;30;;Essence;GTL;Manuelle
Renault 21 1989 21;30;11111111km;Diesel;2.1 TD 88ch;
Renault 21 1989 21;30;11111km;Diesel;2.3;Manuelle
Renault 4 1984;30;000000km;Essence;1.1 ess 34ch;Manuelle
Saab 93 2002;30;500000km;Diesel;2.2;Manuelle
Hyundai Accent 2015 GLS;30;214000km;GPL;1.5 ess 91ch BVA;Manuelle
Skoda Favorit 1993 Favorit;30;5555555555km;Essence;;Manuelle
Peugeot 405 1988 405;30;;GPL;1.8 ess BX;Manuelle
Renault Express 1993 Express;30;;;;Manuelle
Smart 2p 2003;30;120000km;Essence;0.1;Manuelle
Renault Megane 3 2012;30;265km;Diesel;;Manuelle
Seat Marbella 1994 Marbella;30;;Essence;45;Manuelle
Volkswagen Golf 2 1990 Golf 2;30;2222km;Essence;1.3 ess 55ch;Manuelle
Peugeot 305 1983 305;30;9999999km;Essence;;Manuelle
Volkswagen Polo 1990 Polo;30;66333639km;Essence;1,4;Manuelle
Toyota Corola 1993;30;00000km;Essence;1.3 12v;Manuelle
Mercedes Classe E 1996 Classe E;30;;;;
Renault Express 1991 Express;30;000km;Essence;1.9 D 55ch;Manuelle
Peugeot 305 1988 305;30;00000km;GPL;1.6 ess 80ch;Manuelle
Faw Xiali 2006 Faw;30;20000km;Essence;3 cylinder;Manuelle
Renault 19 1994;30;;Diesel;;Manuelle
Renault R4 1989 2;30;70000km;Essence;Gtl;Manuelle
Faw N5 2006;30;;;;
Chevrolet Captiva 2010;30;;;;
Chevrolet Captiva 2010 LT;30;;;;
Peugeot 404 1971;30;;;;
Renault Clio Campus 2009;30;;;;
Renault 4 1971;30;;;;
Audi 80 1995;30;;;;
Nissan Primera 2003;30;;;;
Renault Clio 2 1998;30;;;;
Nissan Sunny 1990;30;;;;
Peugeot 306 2001;30;;;;
Fiat Uno 1991;30;;;;
Ford Focus 4 portes 2002;30;;;;
Fiat Fiorino 1991;30;;;;
Geely S5 2000 Sedan;30;;;;
Opel Kadett 1990;30;;;;
Kia prite 1999;30;;;;
Peugeot 404 1973;30;;;;
Hyundai i10 2019 GLS;31;20000km;Essence;1,2;
Renault R4 F6 1984 F6;31;111441km;Essence;Gtl;Manuelle
Brilliance Geely hq 2005 Xiali;31;291000km;Essence;1.1;Manuelle
Renault 21 1987 21;31;0000km;GPL;1,8;Manuelle
Benneli Panera 2023;31;100km;Essence;125cc;
Daewoo Cielo 1996;31;3969999km;Essence;1.5;Manuelle
Peugeot 309 1986;31;;;;
Renault 19 1992;31;;;;
Peugeot 404 1968;32;1111111km;Essence;1.6 ess 80ch;Manuelle
Renault Safrane 1994 Safrane;32;295000km;Diesel;R25;Manuelle
Renault Safrane 1994 Toute option;32;;;;
Fiat Ino 1987;32;;;;
Renault Clio 4 Gt line pneu nexen 205 45 R17 2023;32;00km;Diesel;;Manuelle
Hafei motors Yavuz 2004 Yavuz;32;300000km;Essence;1.1 ess 65 ch;Manuelle
Peugeot 205 1997;32;12345km;Diesel;;Manuelle
Renault 4 1985;32;123456km;Essence;;Manuelle
Peugeot 405 1990;32;300000km;Essence;;
Fiat Punto 1996 Classic;32;;Diesel;1.7 D 71ch;Manuelle
Fiat Panda 1988 Panda;32;400km;Essence;1.0 ess 4X4 50ch;Manuelle
Peugeot 205 1990;32;265000km;Essence;1.9 bx;Manuelle
Renault 12 1989 Renault;32;999999999km;Essence;Express;Manuelle
Audi 80 1988 Audi 80;32;111111km;Essence;S90;Manuelle
Citroen Ami 8 1974 Ami 8;32;11111144km;Essence;;Manuelle
Faw Xiali 2007;32;111km;Essence;1.1;Manuelle
Peugeot 106 1992 106;32;400000km;Essence;;Manuelle
Suzuki Maruti 800 2001 Maruti 800;32;;Essence;0.8 ess 47ch;Manuelle
Renault R5 1984 R5;32;999km;Essence;;Manuelle
Citroen ZX 1997 ZX;33;1000000km;Diesel;;Manuelle
Fiat Tipo sedan 2023 La base;33;450km;Essence;1.6;Automatique
Fiat Uno 1998 Uno;33;111111km;Essence;1.1;Manuelle
Skoda Octavia 2014 Ambiente;33;156000km;Diesel;2.0 TDI 140ch;Manuelle
Peugeot 305 1984 305;33;00000km;Essence;1.5 ess 74ch;Manuelle
Volkswagen Polo 1990;33;99999km;Essence;1.3 ess 55ch;Manuelle
Seat Ibiza 2015 Black Line;33;191km;Essence;1.4 ess 85ch;Manuelle
Dacia Sandero 2020 Stepway;33;134.000km;Diesel;1.5 DCI 90ch;Manuelle
Hafei motors HFG 7100 2004;33;000km;Essence;1.1;Manuelle
Audi Q3 2013 S Line;33;310.000km;Essence;2.0 TFSI Quattro 170ch;Automatique
Renault R19 1995;33;;Diesel;1.9;Manuelle
Vms Nv 2022;33;8300km;Essence;;Semi Automatique
Fiat Panda 1997;33;;Essence;;Manuelle
Peugeot 404 1978;33;00000km;Essence;La 10;Manuelle
Renault Clio Classique 2002;33;555km;GPL;1.4 ess 75ch;Manuelle
Hummer H3 2011 H3;33;260km;GPL;;Manuelle
Renault Symbol 2013 Symbol;33;233km;GPL;1.4 ess 75ch;Manuelle
Dacia Sandero 2017;33;110km;Diesel;1.5 DCI 75ch;Manuelle
Peugeot 404 1985 404;33;555555km;GPL;La 9;Manuelle
Nitro yamaha Mbk 2017;33;100km;Essence;70cc;Automatique
Faw Xiali 2007;33;999999km;Essence;;Manuelle
Renault 5 1985;33;999999km;Essence;GTL 5 vitesse;Manuelle
Volkswagen Golf 7 2015 Cup;33;260000km;Diesel;;Automatique
doble cabine 2010;33;;Diesel;;Manuelle
Honda Concerto 1990 Concerto;33;;Essence;;Manuelle
Daewoo Matiz 1999 Matiz;33;370km;Essence;0.8;Manuelle
Suzuki Swift 2022 Swift;33;00km;Essence;1.2 VVT 85ch BVA;Automatique
Daewoo Lanos 2000 Lanos;33;4000km;Essence;Ess;Manuelle
Dacia Sandero 2018 Stepway;33;52000km;Diesel;1.5 DCI 90ch;Manuelle
Peugeot 205 1985;33;;;;
Peugeot 205 1991;33;;;;
Suzuki Maruti 800 2008;33;;;;
Renault 4 1982;33;;;;
Zotye Maruti 2007 Maruti;33;;;;
Daewoo Nubira 1998;33;;;;
Renault Kwid 2023;34;;;;
Renault Clio 1 1993 Clio 1;34;;Diesel;1.9 D 65ch;Manuelle
Faw Ixiali 2006 N3;34;600000km;Essence;1.3;Manuelle
Baic X55 2022 X55;34;3km;Essence;1.5 Turbo 150ch;Manuelle
Suzuki Maruti 800 2005 Maruti 800;34;300km;Essence;0.8 ess 47ch;Manuelle
Daewoo Nubira 1999 Nubira;34;333km;Essence;1.6 ess 106ch;Manuelle
Renault 21 1991 21;34;3000000km;Diesel;R25;Manuelle
Faw Huali 2008;34;;Essence;;Manuelle
Seat Ibiza 2019 Ibiza;34;65000km;Essence;1.7;Manuelle
Audi 80 1990 80;34;;Essence;1.8 ess 90ch;Manuelle
Fiat Uno 1994 Uno;34;444444km;Essence;60;Manuelle
Sym Sym sr 2020;34;7500km;Essence;;Semi Automatique
Suzuki Swift 2022 Swift Dzire;34;00km;Essence;1.3 VVT 94ch;Automatique
Renault Super 5 1986 Super 5;34;111111km;Essence;76;Manuelle
Daewoo Nubira 1999;34;;;;
Citroen 2 cv 1971;34;;;;
Honda Civic 1982 Civic;35;999999km;Essence;;Manuelle
Peugeot 306 1999 306;35;300km;Diesel;1.8 ess 16V 112ch;Manuelle
Faw Hiali 2007 Faw;35;;;;
Peugeot 305 1988 305;35;000km;Diesel;1.9 d;Manuelle
Fiat Bravo 2000 Bravo;35;18400km;Essence;1.8 ess 16V 113ch;Manuelle
Daewoo Nubira 1999 Nubira;35;;GPL;1.6 ess 106ch;Manuelle
Daewoo Nubira coupé 1999 Nubira coupé;35;;GPL;1.6 ess 106ch;Manuelle
Seat Ibiza 2019 STYLE;35;170km;Essence;1.6 MPi 110 ch Automatique;Manuelle
Nissan Sunny 1990;35;;Essence;1.4 ess 80ch;Manuelle
Volkswagen Golf 7 2017 Start;35;123000km;;2.0 TDI 110ch;Manuelle
Volkswagen Jetta 1989 Classic;35;5233km;Essence;1.3 55;Manuelle
Peugeot 309 1990;35;;;;
Renault Super 5 1987 Super 5;35;999999km;Essence;1.1 ess 47ch;Manuelle
Alfa Romeo 156 2002;35;;;1.9 JTD 110ch;Manuelle
Fiat Fiorino 1993;35;400000km;Essence;1.4;Manuelle
Ford Fiesta 2014 Trend Look;35;120000km;Essence;1.25 ess 82ch;Manuelle
Volkswagen Caddy 2009;35;560km;Diesel;;Manuelle
Bugatti 405 1990 405;35;;;;
Renault 12 1989 Toros;35;;;;
Peugeot 309 1993 309;35;333333km;Diesel;1.9 D 65ch;Manuelle
Peugeot 404 1985 404;35;111111km;Essence;10;Manuelle
Volkswagen Gol 2004 Gol;35;;GPL;1.6 ess;Manuelle
Peugeot 305 1984 305;35;;GPL;1.3 ess 65ch;Manuelle
Fiat Panda 1996 Panda;35;;Essence;0.9 ess 40ch;Manuelle
Volkswagen Golf 2 1988 Golf 2;35;2222222222km;Essence;1.3 ess 55ch;Manuelle
Renault 4 1984;35;000000km;Essence;1.1 ess 34ch;Manuelle
Suzuki Jimny 2008 Jimny;35;100km;Essence;1.3 VVT 85ch;Semi Automatique
Citroen C 15 1998;35;;Essence;La 8;Manuelle
Hyundai Accent 2008 Accent;35;100000km;Essence;1.5;Manuelle
Hafei motors Yavuz 2004 Yavuz;35;300000km;Essence;1.1 ess 65 ch;Manuelle
Fiat Panda 1999;35;30000km;Essence;0.9 ess 40ch;Manuelle
Opel Corsa 2000 Corsa;35;3000000km;Diesel;1.7 D 60ch;Manuelle
Fiat Tipo 2023 2023 City +;35;1500km;Essence;;Automatique
Skoda Fabia 2019 Style;35;108000km;Essence;1.6 MPI 90ch;Manuelle
Renault 4 1981;35;00km;;;Manuelle
Hafei motors Yavuz 2004 Yavuz;35;250000km;Essence;Dfm;Manuelle
Chevrolet Sail 5 portes 2012 Exclusive;35;250000km;Essence;1.4 ess 97ch;Manuelle
Sitrouine Bx 1990 Ess.gaz;35;111111111km;GPL;1.6;Manuelle
Fiat Ritmo 1981;35;11111km;Essence;1.1 -5 ch;Manuelle
Peugeot 305 1998;35;;Essence;;Manuelle
Daewoo Cielo 2001 Cielo;35;;GPL;1.5 ess 90ch;Manuelle
Peugeot 205 1986 Junior;35;99999999km;Essence;1.4 ess 60ch;Manuelle
Volkswagen Jetta 1991 Classic;35;;Diesel;1.9;Manuelle
Dacia R12 1995 R12;35;987654km;Essence;Gtl 76;Manuelle
Renault Clio 4 2019 GT Line +;35;114000km;Diesel;1.5 DCi 110;Manuelle
Daewoo Nubira 1998;35;44444km;Essence;;Manuelle
Renault Laguna 1 1996 Break;35;;Diesel;2.2 D 85ch;Manuelle
Renault Express 1995 Express;35;;Diesel;1.9 D 65ch;Manuelle
Renault Express 1989 Express;35;600000km;Essence;;Manuelle
Peugeot 208 2022 Allure;35;36000km;Diesel;1.6 HDI 92ch;Manuelle
Renault 4 1989;35;;Essence;1.1 ess 34ch;Manuelle
Peugeot 403 1964 403;35;;Essence;La 7;Manuelle
Daewoo Nubira coupé 1998 Nubira coupé;35;;GPL;1.6 ess 106ch;Manuelle
Faw hona 2008;35;123km;Essence;;Manuelle
Seat Leon 2013 Leon;35;193000km;Diesel;2.0 TDI 140ch;Manuelle
Daewoo Cielo 1999 Cielo;35;1111111km;GPL;;Manuelle
Hyundai Atos 2010 GL;35;420km;GPL;1.1 ess 63ch;Manuelle
Renault 21  1991;35;23526369km;Diesel;;Manuelle
Volkswagen Transport t3 1982;35;111km;Essence;S90 _1.8;Manuelle
Lada Niva 1987 Niva;35;;Essence;1.6 ess 78ch;Manuelle
Zotye Z100 2012 (Ancienne);35;180000km;Essence;0.8 ess 52ch;Manuelle
Renault 205 1987 205;35;1111111km;Essence;1;Manuelle
Renault Safrane 1996;35;333000km;Diesel;2.1 DT 90ch;Manuelle
Mercedes CLK cabriolet 2005 CLK cabriolet;35;150km;Essence;280;Manuelle
Renault 18 1982;35;;;;
Peugeot 505 1990;35;;Essence;;Manuelle
Renault 19 1991 19;35;3700000km;Diesel;1.9 D 65ch;Manuelle
Fiat Panda 1994 Panda;35;;Essence;0.8 ess 34ch;Manuelle
Fiat Panda 1990 Panda;35;1111km;Essence;Fayal l1000;Manuelle
Seat Leon 2015 LINEA R+;35;221km;Diesel;2.0 184 ch;Manuelle
Daewoo Nubira 1999 Nubira;35;;Essence;1.6 ess 106ch;Semi Automatique
Fiat Fiorino 1994 2014;35;658km;Essence;75;Manuelle
Citroen 2 cv 1984 Fourgonnette;35;00000km;Essence;0.6 ess 29ch;Manuelle
Citroen 2 cv 1985 2 cv;35;999km;Essence;0.6 ess 29ch;Manuelle
Peugeot 405 1991;35;00km;GPL;BX lase9;Manuelle
Peugeot 205 1988 Junior;35;;Essence;1.1 ess 55ch;Manuelle
Fiat Punto 1999;35;000000km;;1.7 D 71ch;Manuelle
Volkswagen Golf 2 1984 Golf 2;35;22222222km;Essence;1.8 ess 90ch;Manuelle
Renault 25 1985 25;35;3333333km;Essence;2.2 ess 126ch;Manuelle
Volkswagen Polo 1993 fox;35;970000km;Essence;1.3 ess 55ch;Manuelle
Volkswagen Golf 2 1988 Golf 2;35;0000km;Essence;1.6 ess 75ch;Manuelle
Kia Sephia 2000 Sephia;35;;GPL;;Manuelle
Iran Khodro R5 iran 2007;35;500000km;Essence;;Manuelle
Faw N5 2008 N5;35;;Essence;1.0 MT STD;Manuelle
Geely Hq1 2004 Bonne;35;;Essence;1.1;Manuelle
Citroen ZX 1996 ZX;35;00km;Diesel;1,5;Manuelle
Peugeot J 5 1994;35;450000km;Diesel;10;Manuelle
Renault Express 1989;35;;GPL;;Manuelle
Peugeot 505 1994 ;35;12345km;Essence;25;Manuelle
Renault 4 1987 Savan;35;111111km;Essence;1.0 ess 34ch;Manuelle
Daewoo Nubira coupe 1998 Nubira coupe;35;10km;;;Manuelle
Renault 19 1994 19;35;;GPL;1.8 ess 16V 137ch;Manuelle
Peugeot 405 1992 405;35;9999km;GPL;Bx;Manuelle
Peugeot 405 1990 405;35;00000km;Essence;1.9 ess 125ch;Manuelle
Peugeot 205 1989 205;35;111km;Diesel;1.8 D 60ch;Manuelle
Citroen 2cv 1964;35;;Essence;;Manuelle
Nissan fanet cargo 1997;35;00km;Diesel;2.3;Manuelle
Suzuki Maruti 800 2006;35;76000km;Essence;0.8 ess 47ch;Manuelle
Geely 2008 1;35;250000km;Essence;1,3;Manuelle
Daewoo Racer 1992 Racer;35;;Essence;1.5 ess ch;Manuelle
Renault Safrane 1993 Safrane;35;300000km;Diesel;2.1 DT 90ch;Manuelle
SsangYong golf 2 1984 glf 2;35;;Essence;75;Manuelle
Nissan Sunny 1995;35;;;;
Renault Express 1997;35;;;;
Renault Clio japonais  1995 Clio japonais;35;;;;
Suzuki Swift 2014 Dzire;35;;;;
Audi 80 1995;35;;;;
Faw Xial 2007;35;;;;
Fiat Punto 1998;35;;;;
Renault 4 1984 Fourgon;35;;;;
Peugeot 405 1989;35;;;;
Ford Mondeo 1996 Trend City;35;;;;
Peugeot 405 1990;35;;;;
Nissan Primera 2003;35;;;;
Renault 21 1990;35;;;;
Citroen Xsara 1999;35;;;;
Renault Laguna 1 1995;35;;;;
Fiat Tipo 1991;35;;;;
Suzuki Maruti Zen 2003;35;;;;
Renault 4 1984;35;;;;
Peugeot 304 1971;35;;;;
Renault 21 1989;35;;;;
Zotye Zoty maritu 2014 3 silndr;35;;;;
Daewoo Racer 1992 Racer;36;400000km;Essence;1.5 ess ch;Manuelle
Daihatsu Charade 2004 Charade;36;123km;Essence;1.3;Manuelle
Peugeot 205 1988;36;000000000km;Essence;1.4 ess 65ch;Manuelle
Renault 4 1981 4;36;;Essence;;Manuelle
Renault Renault4 1970 Bon état.;36;10000km;Essence;Gtl;Manuelle
